"ID";"Perioden";"TotaalAanvoerAfval_1";"TotaalNietChemischAfval_2";"Metaalafval_3";"GlasPapierHoutKunststofED_4";"DierlijkPlantaardigAfval_5";"GemengdAfval_6";"Slib_7";"MineralenSteenachtigAfval_8";"OverigNietChemischAfval_9";"ChemischAfval_10";"TotaalAanvoerAfval_11";"Eindproduct_12";"TotaalReststoffen_13";"NuttigeToepassing_14";"Verbranden_15";"Storten_16";"ScheidenAchterafOnbekend_17"
"0";"1996JJ00";"12259";;;;;;;;;;"12259";"11281";"977";"87";"21";"811";"58"
"1";"1998JJ00";"11204";;;;;;;;;;"11204";"10291";"913";"246";"19";"621";"26"
"2";"2000JJ00";"12749";;;;;;;;;;"12749";"11787";"962";"201";"38";"635";"89"
"3";"2002JJ00";"13879";;;;;;;;;;"13879";"13177";"703";"235";"73";"373";"22"
"4";"2004JJ00";"15684";"15588";"716";"2750";"189";"331";"798";"10096";"708";"95";"15684";"14818";"867";"210";"46";"412";"199"
"5";"2006JJ00";"16800";"16582";"1275";"1337";"299";"442";"731";"11972";"525";"218";"16800";"15756";"1042";"121";"48";"494";"379"
"6";"2008JJ00";"15437";"15122";"1716";"1645";"150";"169";"49";"11232";"161";"315";"15437";"14412";"1023";"469";"37";"328";"189"
"7";"2010JJ00";"14610";"14157";"1411";"1454";"80";"101";"53";"10684";"373";"454";"14610";"13740";"872";"358";"76";"326";"112"
"8";"2012JJ00";"13985";"14573";"818";"1559";"307";"361";"36";"10101";"381";"422";"13985";"12958";"1050";"472";"2";"487";"89"
"9";"2014JJ00";"13276";"13250";"856";"1305";"300";"438";"31";"9982";"339";"26";"13276";"12185";"1074";"629";"54";"323";"68"
"10";"2016JJ00";"13624";"13594";"1068";"1365";"493";"627";"26";"9520";"495";"30";"13624";"12259";"1365";"888";"64";"397";"16"
